iter	Passed	Remaining
418	2448	3394
419	2454	3388
420	2459	3382
421	2464	3376
422	2470	3370
423	2476	3363
424	2481	3356
425	2486	3350
426	2492	3344
427	2499	3340
428	2505	3335
429	2512	3330
430	2520	3327
431	2527	3323
432	2533	3317
433	2539	3311
434	2543	3304
435	2549	3297
436	2554	3290
437	2560	3285
438	2565	3278
439	2571	3272
440	2576	3265
441	2582	3259
442	2587	3253
443	2593	3247
444	2599	3241
445	2604	3235
446	2609	3228
447	2615	3222
448	2620	3216
449	2625	3209
450	2630	3202
451	2636	3196
452	2642	3190
453	2647	3184
454	2652	3177
455	2658	3171
456	2664	3165
457	2669	3159
458	2674	3152
459	2680	3146
460	2686	3140
461	2691	3134
462	2699	3130
463	2706	3126
464	2713	3122
465	2721	3118
466	2728	3114
467	2736	3110
468	2741	3104
469	2747	3098
470	2752	3091
471	2758	3086
472	2764	3079
473	2770	3074
474	2776	3068
475	2781	3062
476	2787	3055
477	2792	3049
478	2798	3043
479	2803	3037
480	2809	3031
481	2814	3024
482	2819	3018
483	2825	3011
484	2830	3005
485	2836	2999
486	2842	2994
487	2848	2988
488	2853	2982
489	2859	2975
490	2864	2969
491	2870	2963
492	2875	2957
493	2881	2951
494	2887	2945
495	2894	2940
496	2900	2935
497	2910	2933
498	2915	2927
499	2923	2923
500	2929	2917
501	2935	2911
502	2940	2905
503	2945	2898
504	2951	2892
505	2956	2886
506	2961	2879
507	2967	2874
508	2973	2868
509	2978	2861
510	2984	2855
511	2989	2849
512	2995	2843
513	3000	2837
514	3006	2831
515	3011	2825
516	3017	2819
517	3023	2813
518	3029	2807
519	3035	2801
520	3041	2796
521	3047	2790
522	3053	2784
523	3058	2778
524	3064	2772
525	3069	2765
526	3074	2759
527	3080	2753
528	3087	2749
529	3095	2744
530	3102	2740
531	3108	2734
532	3115	2730
533	3121	2724
534	3127	2718
535	3132	2711
536	3137	2705
537	3143	2699
538	3148	2693
539	3154	2687
540	3160	2681
541	3166	2675
542	3172	2669
543	3177	2663
544	3183	2657
545	3188	2651
546	3194	2645
547	3200	2639
548	3206	2633
549	3211	2627
550	3217	2621
551	3223	2616
552	3229	2610
553	3234	2604
554	3240	2598
555	3245	2591
556	3251	2585
